"orf" "gene" "FGMean" "FGMean2" "geneflag"
"orf19.5007" "ACT1/ACT" 30302.0862068966 30029.6379310345 1
"orf19.5007" "ACT1/ACT" 13377.1153846154 13104.6671087533 1
"orf19.5007" "ACT1/ACT" 25869.8571428571 33721.6711229804 1
"orf19.5007" "ACT1/ACT" 6665.29310344828 8688.29003312882 1
"orf19.5007" "ACT1/ACT" 12139.2142857143 21115.5869738822 1
"orf19.5007" "ACT1/ACT" 6246.8947368421 10866.1768404325 1
"orf19.5383" "PMA1" 2352.94230769231 2080.49403183024 1
"orf19.5383" "PMA1" 8495.15384615385 8222.70557029178 1
"orf19.5383" "PMA1" 2097.34615384615 2733.91603364829 1
"orf19.5383" "PMA1" 5129.72413793103 6686.65734703086 1
"orf19.5383" "PMA1" 832.931034482759 1448.84399335170 1
"orf19.5383" "PMA1" 1133.03448275862 1970.85969503417 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 6258 5985.55172413793 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 27727.8275862069 27455.3793103448 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 6301.70689655172 8214.35102271558 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 21715.375 28306.2534910201 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 12503.2115384615 21748.7429152584 1
"orf19.5928" "RPP2B/CARP2B/RP2B" 4380.65517241379 7619.94171274714 1
"orf19.5893" "RIP1" 20467.2115384615 20194.7632625995 1
"orf19.5893" "RIP1" 5611.55769230769 5339.10941644562 1
"orf19.5893" "RIP1" 16615.2142857143 21658.1324236421 1
"orf19.5893" "RIP1" 3648.07692307692 4755.31231394143 1
"orf19.5893" "RIP1" 3934.40384615385 6843.7087152836 1
"orf19.5893" "RIP1" 22425.2884615385 39007.7246993872 1
"orf19.3651" "PGK1/PGK" 32537.4827586207 32265.0344827586 1
"orf19.3651" "PGK1/PGK" 48248.3928571429 47975.9445812808 1
"orf19.3651" "PGK1/PGK" 29847.5714285714 38906.669718965 1
"orf19.3651" "PGK1/PGK" 39083.9298245614 50946.3744024349 1
"orf19.3651" "PGK1/PGK" 16116.1538461538 28033.2845448986 1
"orf19.3651" "PGK1/PGK" 20640.8275862069 35903.7397191652 1
"orf19.3838" "EFB1" 18897.4615384615 18625.0132625995 1
"orf19.3838" "EFB1" 43742.7719298246 43470.3236539625 1
"orf19.3838" "EFB1" 15782.6071428571 20572.8189605244 1
"orf19.3838" "EFB1" 28404.7142857143 37025.8880130519 1
"orf19.3838" "EFB1" 30977.3260869565 53883.5881641207 1
"orf19.3838" "EFB1" 12382.5087719298 21538.7861829114 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 60628.775862069 60356.3275862069 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 65535 65262.5517241379 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 55684.6730769231 72585.6436593871 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 60861.2931034483 79333.4303633936 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 32580.5 56672.2330795471 1
"orf19.6814" "TDH3/G3P/GAP/GAP1/TDH1" 41528.0535714286 72236.0777563241 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 12052.9642857143 11780.5160098522 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 7701.9649122807 7429.51663641863 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 9331.94736842105 12164.3060631181 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 5552.03846153846 7237.14916662506 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 2744.10869565217 4773.24680700456 1
"orf19.4152" "EFT3/CEF3/TEF3/YEF3" 1858.80701754386 3233.30656521979 1
"orf19.6745" "TPI1/TPIS" 7289.03846153846 7016.5901856764 1
"orf19.6745" "TPI1/TPIS" 31369.9347826087 31097.4865067466 1
"orf19.6745" "TPI1/TPIS" 7201.61538461538 9387.39260186632 1
"orf19.6745" "TPI1/TPIS" 19138.5344827586 24947.3107655564 1
"orf19.6745" "TPI1/TPIS" 12821.6730769231 22302.6916433185 1
"orf19.6745" "TPI1/TPIS" 2306.65384615385 4012.31486327910 1
